Time,Temperature(C),Deviation(mK),Current(mA)
0.00:05:59.486,37,999,-1,-968
0.00:06:00.624,37,998,-2,-970
0.00:06:01.760,38,0,-968
0.00:06:02.913,37,999,-5001,-1994
0.00:06:04.050,38,006,-4994,-1993
0.00:06:05.187,38,049,-4951,-1993
0.00:06:06.323,38,125,-4875,-1994
0.00:06:07.476,38,219,-4781,-1994
0.00:06:08.613,38,327,-4673,-1993
0.00:06:09.750,38,409,-4591,-1994
0.00:06:10.887,38,503,-4497,-1993
0.00:06:12.023,38,589,-4411,-1993
0.00:06:13.176,38,659,-4341,-1993
0.00:06:14.313,38,729,-4271,-1993
0.00:06:15.450,38,805,-4195,-1993
0.00:06:16.587,38,859,-4141,-1993
0.00:06:17.740,38,919,-4081,-1992
0.00:06:18.877,38,979,-4021,-1993
0.00:06:20.013,39,027,-3973,-1993
0.00:06:21.150,39,085,-3915,-1992
0.00:06:22.287,39,142,-3858,-1992
0.00:06:23.440,39,196,-3804,-1993
0.00:06:24.577,39,242,-3758,-1992
0.00:06:25.714,39,301,-3699,-1992
0.00:06:26.850,39,35,-3650,-1993
0.00:06:28.003,39,398,-3602,-1993
0.00:06:29.140,39,449,-3551,-1992
0.00:06:30.277,39,5,-3500,-1993
0.00:06:31.414,39,553,-3447,-1993
0.00:06:32.567,39,593,-3407,-1992
0.00:06:33.703,39,646,-3354,-1992
0.00:06:34.840,39,687,-3313,-1992
0.00:06:35.977,39,738,-3262,-1992
0.00:06:37.130,39,788,-3212,-1993
0.00:06:38.267,39,828,-3172,-1992
0.00:06:39.404,39,877,-3123,-1991
0.00:06:40.540,39,927,-3073,-1991
0.00:06:41.677,39,976,-3024,-1992
0.00:06:42.830,40,016,-2984,-1992
0.00:06:43.967,40,062,-2938,-1991
0.00:06:45.104,40,112,-2888,-1991
0.00:06:46.241,40,153,-2847,-1992
0.00:06:47.393,40,198,-2802,-1991
0.00:06:48.530,40,242,-2758,-1991
0.00:06:49.667,40,284,-2716,-1991
0.00:06:50.804,40,331,-2669,-1991
0.00:06:51.957,40,382,-2618,-1991
0.00:06:53.094,40,426,-2574,-1991
0.00:06:54.230,40,473,-2527,-1991
0.00:06:55.367,40,52,-2480,-1992
0.00:06:56.504,40,561,-2439,-1991
0.00:06:57.657,40,608,-2392,-1991
0.00:06:58.794,40,65,-2350,-1991
0.00:06:59.931,40,691,-2309,-1990
0.00:07:01.067,40,729,-2271,-1991
0.00:07:02.220,40,776,-2224,-1991
0.00:07:03.357,40,825,-2175,-1991
0.00:07:04.525,40,864,-2136,-1991
0.00:07:05.663,40,908,-2092,-1990
0.00:07:06.800,40,954,-2046,-1991
0.00:07:07.935,40,998,-2002,-1991
0.00:07:09.089,41,03,-1970,-1990
0.00:07:10.225,41,077,-1923,-1990
0.00:07:11.362,41,121,-1879,-1991
0.00:07:12.500,41,159,-1841,-1990
0.00:07:13.635,41,204,-1796,-1991
0.00:07:14.788,41,249,-1751,-1991
0.00:07:15.925,41,283,-1717,-1991
0.00:07:17.063,41,331,-1669,-1990
0.00:07:18.199,41,369,-1631,-1991
0.00:07:19.337,41,412,-1588,-1990
0.00:07:20.488,41,461,-1539,-1990
0.00:07:21.625,41,505,-1495,-1990
0.00:07:22.762,41,543,-1457,-1991
0.00:07:23.899,41,587,-1413,-1991
0.00:07:25.036,41,627,-1373,-1990
0.00:07:26.173,41,664,-1336,-1990
0.00:07:27.325,41,706,-1294,-1990
0.00:07:28.462,41,75,-1250,-1991
0.00:07:29.599,41,781,-1219,-1990
0.00:07:30.736,41,824,-1176,-1991
0.00:07:31.873,41,866,-1134,-1991
0.00:07:33.027,41,909,-1091,-1990
0.00:07:34.162,41,942,-1058,-1990
0.00:07:35.299,41,986,-1014,-1990
0.00:07:36.436,42,018,-982,-1991
0.00:07:37.573,42,061,-939,-1990
0.00:07:38.726,42,098,-902,-1990
0.00:07:39.862,42,136,-864,-1991
0.00:07:40.999,42,172,-828,-1990
0.00:07:42.136,42,215,-785,-1989
0.00:07:43.273,42,255,-745,-1991
0.00:07:44.426,42,283,-717,-1990
0.00:07:45.562,42,327,-673,-1990
0.00:07:46.699,42,366,-634,-1990
0.00:07:47.836,42,401,-599,-1990
0.00:07:48.973,42,438,-562,-1991
0.00:07:50.126,42,474,-526,-1989
0.00:07:51.263,42,511,-489,-1989
0.00:07:52.399,42,55,-450,-1990
0.00:07:53.536,42,589,-411,-1990
0.00:07:54.673,42,624,-376,-1990
0.00:07:55.826,42,661,-339,-1990
0.00:07:56.963,42,691,-309,-1990
0.00:07:58.099,42,73,-270,-1990
0.00:07:59.236,42,766,-234,-1989
0.00:08:00.373,42,802,-198,-1989
0.00:08:01.526,42,831,-169,-1990
0.00:08:02.663,42,868,-132,-1990
0.00:08:03.799,42,904,-96,-1989
0.00:08:04.936,42,932,-68,-1990
0.00:08:06.073,42,967,-33,-1989
0.00:08:07.226,43,007,7,-1989
0.00:08:08.395,43,038,38,-1989
0.00:08:09.532,43,084,84,-1990
0.00:08:10.668,43,111,111,-1989
0.00:08:11.805,43,137,137,-1989
0.00:08:12.942,43,167,167,-1974
0.00:08:14.095,43,207,207,-1878
0.00:08:15.232,43,244,244,-1776
0.00:08:16.368,43,269,269,-1673
0.00:08:17.505,43,279,279,-1604
0.00:08:18.642,43,294,294,-1528
0.00:08:19.795,43,284,284,-1460
0.00:08:20.932,43,279,279,-1407
0.00:08:22.068,43,266,266,-1358
0.00:08:23.205,43,252,252,-1317
0.00:08:24.342,43,224,224,-1298
0.00:08:25.495,43,204,204,-1279
0.00:08:26.632,43,18,180,-1269
0.00:08:27.768,43,16,160,-1257
0.00:08:28.905,43,14,140,-1249
0.00:08:30.042,43,12,120,-1247
0.00:08:31.179,43,1,100,-1247
0.00:08:32.332,43,081,81,-1252
0.00:08:33.469,43,07,70,-1252
0.00:08:34.605,43,051,51,-1259
0.00:08:35.741,43,043,43,-1261
0.00:08:36.878,43,032,32,-1266
0.00:08:38.016,43,021,21,-1274
0.00:08:39.168,43,017,17,-1277
0.00:08:40.304,43,01,10,-1281
0.00:08:41.442,43,007,7,-1287
0.00:08:42.579,43,003,3,-1288
0.00:08:43.716,42,995,-5,-1298
0.00:08:44.853,42,992,-8,-1308
0.00:08:46.005,42,993,-7,-1309
0.00:08:47.142,42,989,-11,-1317
0.00:08:48.278,42,987,-13,-1319
0.00:08:49.416,42,988,-12,-1324
0.00:08:50.552,42,989,-11,-1322
0.00:08:51.689,42,985,-15,-1332
0.00:08:52.842,42,983,-17,-1337
0.00:08:53.978,42,984,-16,-1340
0.00:08:55.115,42,981,-19,-1348
0.00:08:56.252,42,982,-18,-1344
0.00:08:57.388,42,984,-16,-1352
0.00:08:58.525,42,98,-20,-1361
0.00:08:59.678,42,983,-17,-1353
0.00:09:00.815,42,986,-14,-1361
0.00:09:01.952,42,989,-11,-1358
0.00:09:03.089,42,997,-3,-1352
0.00:09:04.225,42,993,-7,-1355
0.00:09:05.378,42,993,-7,-1358
0.00:09:06.515,42,999,-1,-1356
0.00:09:07.652,43,001,1,-1356
0.00:09:08.789,42,998,-2,-1351
0.00:09:09.925,42,998,-2,-1351
0.00:09:11.062,43,003,3,-1346
0.00:09:12.215,43,003,3,-1347
0.00:09:13.352,43,001,1,-1347
0.00:09:14.489,42,997,-3,-1352
0.00:09:15.626,42,998,-2,-1350
0.00:09:16.762,43,0,-1350
0.00:09:17.915,42,997,-3,-1353
0.00:09:19.052,43,001,1,-1355
0.00:09:20.189,42,997,-3,-1355
0.00:09:21.326,43,002,2,-1348
0.00:09:22.463,42,998,-2,-1348
0.00:09:23.615,42,996,-4,-1357
0.00:09:24.752,43,002,2,-1350
0.00:09:25.889,43,003,3,-1351
0.00:09:27.026,43,004,4,-1346
0.00:09:28.163,43,005,5,-1344
0.00:09:29.300,43,007,7,-1341
0.00:09:30.452,43,008,8,-1336
0.00:09:31.589,43,006,6,-1341
0.00:09:32.726,43,001,1,-1342
0.00:09:33.863,43,002,2,-1339
0.00:09:35.000,43,001,1,-1339
0.00:09:36.152,43,0,-1339
0.00:09:37.289,43,002,2,-1336
0.00:09:38.426,43,003,3,-1336
0.00:09:39.563,43,005,5,-1333
0.00:09:40.700,43,006,6,-1329
0.00:09:41.853,43,005,5,-1330
0.00:09:42.989,43,011,11,-1326
0.00:09:44.126,43,009,9,-1326
0.00:09:45.263,43,01,10,-1323
0.00:09:46.400,43,011,11,-1319
0.00:09:47.553,43,005,5,-1321
0.00:09:48.690,43,006,6,-1319
0.00:09:49.826,43,004,4,-1319
0.00:09:50.963,43,008,8,-1314
0.00:09:52.100,43,006,6,-1316
0.00:09:53.237,43,006,6,-1313
0.00:09:54.390,43,003,3,-1311
0.00:09:55.527,43,007,7,-1311
0.00:09:56.663,43,006,6,-1311
0.00:09:57.800,43,006,6,-1308
0.00:09:58.937,43,009,9,-1304
0.00:10:00.090,43,011,11,-1305
0.00:10:01.227,43,006,6,-1301
0.00:10:02.364,43,01,10,-1289
0.00:10:03.500,43,008,8,-1292
0.00:10:04.637,43,007,7,-1293
0.00:10:05.790,43,006,6,-1296
0.00:10:06.927,43,004,4,-1296
0.00:10:08.064,43,006,6,-1294
0.00:10:09.200,43,004,4,-1292
0.00:10:10.337,43,005,5,-1292
0.00:10:11.490,43,004,4,-1294
0.00:10:12.627,43,005,5,-1289
0.00:10:13.764,43,008,8,-1289
0.00:10:14.901,43,001,1,-1286
0.00:10:16.037,43,004,4,-1288
0.00:10:17.174,43,003,3,-1287
0.00:10:18.327,42,998,-2,-1293
0.00:10:19.464,43,004,4,-1286
0.00:10:20.600,42,999,-1,-1294
0.00:10:21.738,43,001,1,-1293
0.00:10:22.873,42,997,-3,-1296
0.00:10:24.026,42,996,-4,-1300
0.00:10:25.163,43,001,1,-1294
0.00:10:26.300,42,996,-4,-1300
0.00:10:27.437,42,997,-3,-1300
0.00:10:28.606,43,0,-1291
0.00:10:29.742,43,001,1,-1292
0.00:10:30.879,43,0,-1292
0.00:10:32.032,43,001,1,-1292
0.00:10:33.169,43,003,3,-1286
0.00:10:34.306,43,002,2,-1288
0.00:10:35.442,43,011,11,-1277
0.00:10:36.579,43,005,5,-1284
0.00:10:37.732,43,007,7,-1280
0.00:10:38.869,43,007,7,-1277
0.00:10:40.006,43,005,5,-1275
0.00:10:41.143,43,007,7,-1278
0.00:10:42.279,43,007,7,-1275
0.00:10:43.416,43,006,6,-1270
0.00:10:44.569,43,005,5,-1273
0.00:10:45.706,43,005,5,-1276
0.00:10:46.843,43,006,6,-1271
0.00:10:47.980,43,008,8,-1270
0.00:10:49.116,43,004,4,-1266
0.00:10:50.269,43,008,8,-1265
0.00:10:51.406,43,002,2,-1270
0.00:10:52.543,43,001,1,-1273
0.00:10:53.680,43,001,1,-1268
0.00:10:54.817,43,003,3,-1272
0.00:10:55.969,43,002,2,-1276
0.00:10:57.106,43,0,-1272
0.00:10:58.243,43,0,-1264
0.00:10:59.380,43,001,1,-1271
0.00:11:00.517,42,999,-1,-1272
0.00:11:01.654,42,999,-1,-1278
0.00:11:02.806,42,998,-2,-1269
0.00:11:03.943,42,998,-2,-1275
0.00:11:05.080,42,995,-5,-1271
0.00:11:06.217,42,999,-1,-1278
0.00:11:07.354,42,997,-3,-1275
0.00:11:08.506,42,996,-4,-1276
0.00:11:09.643,42,995,-5,-1283
0.00:11:10.780,43,001,1,-1274
0.00:11:11.917,42,997,-3,-1279
0.00:11:13.054,42,998,-2,-1277
0.00:11:14.191,42,995,-5,-1281
0.00:11:15.343,42,997,-3,-1273
0.00:11:16.480,43,002,2,-1275
0.00:11:17.617,43,002,2,-1276
0.00:11:18.754,43,001,1,-1277
0.00:11:19.891,42,998,-2,-1275
0.00:11:21.043,43,0,-1281
0.00:11:22.180,42,999,-1,-1279
0.00:11:23.317,43,005,5,-1278
0.00:11:24.454,43,0,-1273
0.00:11:25.591,43,002,2,-1274
0.00:11:26.744,43,004,4,-1271
0.00:11:27.881,43,007,7,-1262
0.00:11:29.017,43,006,6,-1266
0.00:11:30.154,43,006,6,-1267
0.00:11:31.291,43,005,5,-1263
0.00:11:32.428,43,003,3,-1259
0.00:11:33.581,43,006,6,-1264
0.00:11:34.718,43,001,1,-1264
0.00:11:35.854,42,999,-1,-1269
0.00:11:36.991,42,999,-1,-1272
0.00:11:38.128,42,998,-2,-1272
0.00:11:39.265,42,996,-4,-1279
0.00:11:40.418,42,993,-7,-1278
0.00:11:41.554,42,992,-8,-1284
0.00:11:42.691,42,997,-3,-1289
0.00:11:43.828,42,997,-3,-1282
0.00:11:44.965,43,003,3,-1278
0.00:11:46.102,43,002,2,-1277
0.00:11:47.255,43,003,3,-1270
0.00:11:48.391,43,001,1,-1270
0.00:11:49.528,43,003,3,-1266
0.00:11:50.664,43,005,5,-1265
0.00:11:51.802,43,004,4,-1260
0.00:11:52.938,43,006,6,-1261
0.00:11:54.092,43,006,6,-1259
0.00:11:55.228,43,009,9,-1254
0.00:11:56.365,43,003,3,-1264
0.00:11:57.501,43,001,1,-1262
0.00:11:58.638,43,002,2,-1258
0.00:11:59.775,43,003,3,-1259
0.00:12:00.927,43,006,6,-1254
0.00:12:02.064,43,006,6,-1249
0.00:12:03.201,43,007,7,-1251
0.00:12:04.338,43,006,6,-1251
0.00:12:05.475,43,002,2,-1247
0.00:12:06.612,43,004,4,-1249
0.00:12:07.748,43,004,4,-1248
0.00:12:08.901,43,004,4,-1245
0.00:12:10.038,43,006,6,-1246
0.00:12:11.175,43,004,4,-1244
0.00:12:12.312,43,004,4,-1243
0.00:12:13.449,43,004,4,-1244
0.00:12:14.585,43,005,5,-1238
0.00:12:15.738,43,001,1,-1246
0.00:12:16.875,43,001,1,-1246
0.00:12:18.012,42,997,-3,-1247
0.00:12:19.149,42,995,-5,-1253
0.00:12:20.285,42,992,-8,-1262
0.00:12:21.422,42,993,-7,-1258
0.00:12:22.559,42,991,-9,-1264
0.00:12:23.712,42,988,-12,-1267
0.00:12:24.849,42,992,-8,-1265
0.00:12:25.986,42,994,-6,-1266
0.00:12:27.122,42,997,-3,-1266
0.00:12:28.259,42,995,-5,-1261
0.00:12:29.396,42,999,-1,-1265
0.00:12:30.549,42,998,-2,-1263
0.00:12:31.686,43,004,4,-1264
0.00:12:32.823,43,005,5,-1258
0.00:12:33.959,43,004,4,-1259
0.00:12:35.096,43,004,4,-1253
0.00:12:36.233,43,006,6,-1248
0.00:12:37.386,43,004,4,-1252
0.00:12:38.523,43,005,5,-1249
0.00:12:39.660,43,007,7,-1244
0.00:12:40.796,43,006,6,-1243
0.00:12:41.933,43,003,3,-1247
0.00:12:43.070,43,01,10,-1243
0.00:12:44.223,43,006,6,-1241
0.00:12:45.392,43,012,12,-1233
0.00:12:46.529,43,011,11,-1233
0.00:12:47.665,43,007,7,-1235
0.00:12:48.802,43,01,10,-1230
0.00:12:49.939,43,005,5,-1233
0.00:12:51.076,43,007,7,-1229
0.00:12:52.229,43,01,10,-1223
0.00:12:53.365,43,006,6,-1224
0.00:12:54.502,43,006,6,-1231
0.00:12:55.639,43,008,8,-1223
0.00:12:56.776,43,003,3,-1227
0.00:12:57.913,43,002,2,-1229
0.00:12:59.066,43,003,3,-1227
0.00:13:00.202,42,999,-1,-1233
0.00:13:01.339,42,996,-4,-1237
0.00:13:02.476,42,995,-5,-1239
0.00:13:03.613,42,992,-8,-1240
0.00:13:04.750,42,995,-5,-1243
0.00:13:05.902,42,991,-9,-1249
0.00:13:07.039,42,989,-11,-1248
0.00:13:08.176,42,992,-8,-1251
0.00:13:09.313,42,993,-7,-1252
0.00:13:10.450,42,992,-8,-1259
0.00:13:11.587,42,998,-2,-1255
0.00:13:12.723,42,999,-1,-1250
0.00:13:13.876,43,0,-1247
