Time,Temperature(C),Deviation(mK),Current(mA)
0.00:26:27.992,30,455,5455,1991
0.00:26:29.145,30,391,5391,1991
0.00:26:30.282,30,337,5337,1990
0.00:26:31.435,30,277,5277,1989
0.00:26:32.571,30,212,5212,1990
0.00:26:33.724,30,162,5162,1990
0.00:26:34.877,30,099,5099,1990
0.00:26:36.014,30,039,5039,1991
0.00:26:37.167,29,977,4977,1990
0.00:26:38.319,29,922,4922,1990
0.00:26:39.456,29,866,4866,1990
0.00:26:40.609,29,807,4807,1990
0.00:26:41.746,29,752,4752,1990
0.00:26:42.899,29,694,4694,1990
0.00:26:44.052,29,633,4633,1990
0.00:26:45.188,29,574,4574,1991
0.00:26:46.341,29,527,4527,1989
0.00:26:47.478,29,466,4466,1990
0.00:26:48.631,29,406,4406,1990
0.00:26:49.784,29,347,4347,1989
0.00:26:50.922,29,294,4294,1990
0.00:26:52.073,29,238,4238,1990
0.00:26:53.226,29,181,4181,1989
0.00:26:54.363,29,131,4131,1990
0.00:26:55.516,29,072,4072,1991
0.00:26:56.653,29,015,4015,1990
0.00:26:57.805,28,967,3967,1990
0.00:26:58.958,28,908,3908,1990
0.00:27:00.095,28,851,3851,1990
0.00:27:01.248,28,796,3796,1989
0.00:27:02.385,28,746,3746,1990
0.00:27:03.538,28,688,3688,1989
0.00:27:04.690,28,634,3634,1991
0.00:27:05.827,28,591,3591,1990
0.00:27:06.980,28,534,3534,1990
0.00:27:08.117,28,474,3474,1990
0.00:27:09.270,28,423,3423,1990
0.00:27:10.423,28,378,3378,1990
0.00:27:11.559,28,318,3318,1991
0.00:27:12.712,28,265,3265,1989
0.00:27:13.865,28,221,3221,1989
0.00:27:15.001,28,17,3170,1991
0.00:27:16.154,28,112,3112,1990
0.00:27:17.290,28,058,3058,1989
0.00:27:18.444,28,014,3014,1990
0.00:27:19.596,27,963,2963,1990
0.00:27:20.734,27,907,2907,1990
0.00:27:21.887,27,861,2861,1989
0.00:27:23.024,27,806,2806,1990
0.00:27:24.176,27,756,2756,1990
0.00:27:25.328,27,703,2703,1991
0.00:27:26.465,27,659,2659,1990
0.00:27:27.618,27,607,2607,1990
0.00:27:28.772,27,556,2556,1990
0.00:27:29.908,27,51,2510,1990
0.00:27:31.060,27,46,2460,1990
0.00:27:32.197,27,411,2411,1990
0.00:27:33.350,27,358,2358,1991
0.00:27:34.503,27,313,2313,1990
0.00:27:35.640,27,262,2262,1990
0.00:27:36.793,27,212,2212,1990
0.00:27:37.930,27,169,2169,1989
0.00:27:39.082,27,117,2117,1990
0.00:27:40.235,27,065,2065,1990
0.00:27:41.372,27,015,2015,1990
0.00:27:42.525,26,974,1974,1641
0.00:27:43.662,26,924,1924,1990
0.00:27:44.814,26,88,1880,1990
0.00:27:45.967,26,842,1842,1990
0.00:27:47.104,26,793,1793,1990
0.00:27:48.257,26,743,1743,1991
0.00:27:49.394,26,695,1695,1990
0.00:27:50.547,26,652,1652,1989
0.00:27:51.699,26,602,1602,1990
0.00:27:52.836,26,549,1549,1991
0.00:27:53.990,26,51,1510,1990
0.00:27:55.126,26,463,1463,1991
0.00:27:56.279,26,414,1414,1990
0.00:27:57.432,26,367,1367,1990
0.00:27:58.568,26,324,1324,1991
0.00:27:59.722,26,277,1277,1990
0.00:28:00.858,26,23,1230,1990
0.00:28:02.011,26,188,1188,1991
0.00:28:03.165,26,14,1140,1989
0.00:28:04.300,26,088,1088,1989
0.00:28:05.453,26,044,1044,1991
0.00:28:06.606,26,002,1002,1991
0.00:28:07.743,25,956,956,1990
0.00:28:08.896,25,908,908,1990
0.00:28:10.033,25,87,870,1989
0.00:28:11.185,25,824,824,1990
0.00:28:12.338,25,777,777,1990
0.00:28:13.475,25,732,732,1990
0.00:28:14.628,25,692,692,1990
0.00:28:15.781,25,648,648,1991
0.00:28:16.918,25,602,602,1990
0.00:28:18.070,25,554,554,1989
0.00:28:19.207,25,517,517,1989
0.00:28:20.360,25,467,467,1990
0.00:28:21.513,25,421,421,1990
0.00:28:22.650,25,384,384,1990
0.00:28:23.803,25,339,339,1990
0.00:28:24.939,25,292,292,1990
0.00:28:26.092,25,248,248,1990
0.00:28:27.245,25,213,213,1989
0.00:28:28.382,25,166,166,1990
0.00:28:29.535,25,116,116,1990
0.00:28:30.672,25,076,76,1990
0.00:28:31.824,25,032,32,1991
0.00:28:32.977,24,987,-13,1990
0.00:28:34.114,24,945,-55,1990
0.00:28:35.267,24,907,-93,1989
0.00:28:36.404,24,864,-136,1990
0.00:28:37.557,24,82,-180,1979
0.00:28:38.709,24,785,-215,1869
0.00:28:39.846,24,741,-259,1776
0.00:28:40.999,24,704,-296,1655
0.00:28:42.152,24,671,-329,1536
0.00:28:43.289,24,643,-357,1430
0.00:28:44.442,24,62,-380,1314
0.00:28:45.594,24,6,-400,1188
0.00:28:46.730,24,592,-408,1077
0.00:28:47.884,24,586,-414,986
0.00:28:49.021,24,581,-419,883
0.00:28:50.174,24,585,-415,786
0.00:28:51.327,24,588,-412,707
0.00:28:52.463,24,597,-403,620
0.00:28:53.616,24,611,-389,537
0.00:28:54.769,24,626,-374,475
0.00:28:55.905,24,643,-357,420
0.00:28:57.059,24,663,-337,362
0.00:28:58.196,24,683,-317,308
0.00:28:59.347,24,697,-303,273
0.00:29:00.500,24,72,-280,232
0.00:29:01.638,24,746,-254,194
0.00:29:02.790,24,764,-236,169
0.00:29:03.927,24,782,-218,144
0.00:29:05.080,24,808,-192,127
0.00:29:06.232,24,83,-170,112
0.00:29:07.370,24,846,-154,100
0.00:29:08.522,24,862,-138,88
0.00:29:09.660,24,881,-119,82
0.00:29:10.812,24,897,-103,76
0.00:29:11.965,24,912,-88,73
0.00:29:13.101,24,927,-73,80
0.00:29:14.254,24,936,-64,73
0.00:29:15.391,24,948,-52,80
0.00:29:16.544,24,962,-38,87
0.00:29:17.697,24,972,-28,91
0.00:29:18.834,24,977,-23,93
0.00:29:19.987,24,984,-16,97
0.00:29:21.123,24,989,-11,100
0.00:29:22.276,24,999,-1,114
0.00:29:23.429,25,004,4,121
0.00:29:24.566,25,006,6,121
0.00:29:25.719,25,012,12,131
0.00:29:26.856,25,016,16,140
0.00:29:28.008,25,015,15,146
0.00:29:29.161,25,019,19,154
0.00:29:30.298,25,019,19,160
0.00:29:31.451,25,019,19,163
0.00:29:32.604,25,02,20,168
0.00:29:33.741,25,018,18,174
0.00:29:34.893,25,02,20,179
0.00:29:36.030,25,02,20,183
0.00:29:37.183,25,019,19,185
0.00:29:38.336,25,017,17,187
0.00:29:39.473,25,017,17,191
0.00:29:40.626,25,017,17,197
0.00:29:41.762,25,018,18,203
0.00:29:42.915,25,017,17,202
0.00:29:44.068,25,015,15,205
0.00:29:45.205,25,013,13,204
0.00:29:46.358,25,011,11,209
0.00:29:47.511,25,011,11,208
0.00:29:48.647,25,011,11,211
0.00:29:49.800,25,009,9,210
0.00:29:50.937,25,009,9,212
0.00:29:52.090,25,007,7,213
0.00:29:53.243,25,007,7,214
0.00:29:54.380,25,008,8,214
0.00:29:55.532,25,01,10,217
0.00:29:56.685,25,009,9,221
0.00:29:57.822,25,007,7,221
0.00:29:58.975,25,005,5,221
0.00:30:00.128,25,002,2,218
0.00:30:01.265,25,002,2,218
0.00:30:02.417,25,003,3,216
0.00:30:03.554,25,0,216
0.00:30:04.707,25,002,2,221
0.00:30:05.860,25,003,3,218
0.00:30:06.997,25,001,1,221
0.00:30:08.150,25,001,1,218
0.00:30:09.303,25,001,1,218
0.00:30:10.439,25,002,2,217
0.00:30:11.592,25,0,223
0.00:30:12.745,24,998,-2,216
0.00:30:13.882,24,997,-3,213
0.00:30:15.035,24,997,-3,209
0.00:30:16.172,24,996,-4,210
0.00:30:17.324,24,995,-5,202
0.00:30:18.477,24,997,-3,207
0.00:30:19.614,24,995,-5,207
0.00:30:20.767,24,995,-5,206
0.00:30:21.920,24,998,-2,208
0.00:30:23.057,24,997,-3,207
0.00:30:24.210,24,998,-2,209
0.00:30:25.361,25,0,205
0.00:30:26.499,24,997,-3,204
0.00:30:27.652,25,0,208
0.00:30:28.805,25,0,209
0.00:30:29.942,25,0,205
0.00:30:31.094,25,0,209
0.00:30:32.230,25,002,2,207
0.00:30:33.383,24,997,-3,206
0.00:30:34.536,25,001,1,208
0.00:30:35.673,25,001,1,207
0.00:30:36.827,25,0,206
0.00:30:37.979,24,998,-2,202
0.00:30:39.115,25,001,1,209
0.00:30:40.269,24,998,-2,206
0.00:30:41.421,25,003,3,212
0.00:30:42.558,25,005,5,208
0.00:30:43.711,25,001,1,210
0.00:30:44.864,25,0,210
0.00:30:46.000,24,997,-3,208
0.00:30:47.153,25,0,209
0.00:30:48.306,25,001,1,210
0.00:30:49.443,24,999,-1,205
0.00:30:50.596,24,998,-2,207
0.00:30:51.733,24,998,-2,205
0.00:30:52.886,24,997,-3,208
0.00:30:54.038,24,999,-1,207
0.00:30:55.175,24,999,-1,206
0.00:30:56.328,25,0,205
0.00:30:57.481,24,998,-2,203
0.00:30:58.618,24,999,-1,206
0.00:30:59.771,24,996,-4,202
0.00:31:00.923,24,995,-5,201
0.00:31:02.060,24,994,-6,190
0.00:31:03.213,24,995,-5,196
0.00:31:04.366,24,994,-6,192
0.00:31:05.503,24,999,-1,201
0.00:31:06.656,24,998,-2,200
0.00:31:07.809,24,999,-1,198
0.00:31:08.945,24,996,-4,193
0.00:31:10.098,24,995,-5,191
0.00:31:11.251,24,998,-2,191
0.00:31:12.388,24,994,-6,190
0.00:31:13.541,24,999,-1,191
0.00:31:14.678,24,995,-5,190
0.00:31:15.831,24,998,-2,191
0.00:31:16.983,25,0,192
0.00:31:18.120,24,997,-3,192
0.00:31:19.273,24,998,-2,190
0.00:31:20.426,24,998,-2,192
0.00:31:21.563,24,999,-1,190
0.00:31:22.716,24,996,-4,190
0.00:31:23.868,24,997,-3,186
0.00:31:25.005,24,998,-2,189
0.00:31:26.158,25,0,186
0.00:31:27.295,24,997,-3,184
0.00:31:28.448,24,997,-3,186
0.00:31:29.601,24,999,-1,187
0.00:31:30.737,25,0,191
0.00:31:31.890,25,0,188
0.00:31:33.043,24,998,-2,186
0.00:31:34.180,25,0,186
0.00:31:35.333,24,999,-1,187
0.00:31:36.470,25,0,193
0.00:31:37.622,25,002,2,188
0.00:31:38.775,25,002,2,191
0.00:31:39.912,25,003,3,192
0.00:31:41.065,25,002,2,191
0.00:31:42.218,25,002,2,193
0.00:31:43.355,25,0,184
0.00:31:44.508,25,004,4,192
0.00:31:45.644,24,999,-1,192
0.00:31:46.797,24,999,-1,189
0.00:31:47.950,25,0,187
0.00:31:49.087,24,995,-5,183
0.00:31:50.240,24,996,-4,185
0.00:31:51.377,24,998,-2,183
0.00:31:52.529,24,997,-3,183
0.00:31:53.682,24,994,-6,182
0.00:31:54.818,24,991,-9,177
0.00:31:55.971,24,994,-6,180
0.00:31:57.125,24,996,-4,178
0.00:31:58.262,24,995,-5,172
0.00:31:59.415,24,994,-6,174
0.00:32:00.551,24,995,-5,171
0.00:32:01.704,24,997,-3,173
0.00:32:02.857,24,996,-4,172
0.00:32:03.994,24,995,-5,169
0.00:32:05.147,24,991,-9,168
0.00:32:06.300,24,992,-8,163
0.00:32:07.436,24,99,-10,165
0.00:32:08.588,24,994,-6,159
0.00:32:09.742,24,996,-4,162
0.00:32:10.878,24,998,-2,164
0.00:32:12.032,24,996,-4,162
0.00:32:13.168,24,996,-4,162
0.00:32:14.321,24,994,-6,155
0.00:32:15.474,24,995,-5,162
0.00:32:16.610,24,999,-1,161
0.00:32:17.764,24,998,-2,158
0.00:32:18.916,24,999,-1,159
0.00:32:20.053,25,001,1,157
0.00:32:21.206,24,999,-1,166
0.00:32:22.359,25,0,161
0.00:32:23.495,24,999,-1,162
0.00:32:24.648,24,999,-1,163
0.00:32:25.802,24,999,-1,160
0.00:32:26.938,24,999,-1,161
0.00:32:28.091,24,999,-1,164
0.00:32:29.228,25,003,3,167
0.00:32:30.381,25,003,3,166
0.00:32:31.534,25,002,2,161
0.00:32:32.670,25,002,2,165
0.00:32:33.823,24,995,-5,156
0.00:32:34.976,24,999,-1,162
0.00:32:36.113,25,0,162
0.00:32:37.266,24,999,-1,160
0.00:32:38.419,25,0,162
0.00:32:39.555,24,999,-1,160
0.00:32:40.708,25,0,165
0.00:32:41.861,24,998,-2,160
0.00:32:42.998,25,001,1,163
0.00:32:44.151,24,999,-1,166
0.00:32:45.304,25,0,160
0.00:32:46.441,24,998,-2,159
0.00:32:47.593,25,002,2,157
0.00:32:48.730,24,999,-1,162
0.00:32:49.883,24,994,-6,156
0.00:32:51.036,24,998,-2,157
0.00:32:52.173,24,999,-1,157
0.00:32:53.326,24,997,-3,155
0.00:32:54.479,25,002,2,156
0.00:32:55.615,25,002,2,156
0.00:32:56.768,24,999,-1,159
0.00:32:57.921,24,999,-1,155
0.00:32:59.058,24,998,-2,156
0.00:33:00.211,24,996,-4,156
0.00:33:01.364,24,999,-1,153
0.00:33:02.500,24,997,-3,153
0.00:33:03.653,24,993,-7,148
0.00:33:04.806,24,999,-1,155
0.00:33:05.943,25,004,4,155
0.00:33:07.096,25,004,4,156
0.00:33:08.249,25,003,3,161
0.00:33:09.386,25,001,1,159
0.00:33:10.538,25,0,153
0.00:33:11.691,25,0,153
0.00:33:12.828,24,999,-1,156
0.00:33:13.981,25,001,1,150
0.00:33:15.134,25,001,1,156
0.00:33:16.271,25,0,155
0.00:33:17.424,25,001,1,157
0.00:33:18.576,24,997,-3,151
0.00:33:19.713,24,995,-5,149
0.00:33:20.866,24,998,-2,152
0.00:33:22.003,24,998,-2,149
0.00:33:23.156,24,998,-2,154
0.00:33:24.309,24,999,-1,148
0.00:33:25.446,25,0,145
0.00:33:26.598,24,999,-1,153
0.00:33:27.751,24,996,-4,148
0.00:33:28.887,24,996,-4,147
0.00:33:30.041,24,996,-4,146
0.00:33:31.194,24,995,-5,146
0.00:33:32.330,24,998,-2,145
0.00:33:33.483,25,0,148
0.00:33:34.636,24,997,-3,147
0.00:33:35.772,25,002,2,152
0.00:33:36.926,25,0,151
0.00:33:38.079,25,001,1,150
0.00:33:39.215,25,001,1,148
0.00:33:40.368,25,0,146
0.00:33:41.504,24,999,-1,148
0.00:33:42.658,25,0,151
0.00:33:43.810,24,998,-2,143
0.00:33:44.948,24,998,-2,146
0.00:33:46.101,24,999,-1,142
0.00:33:47.253,24,998,-2,148
0.00:33:48.390,24,999,-1,147
0.00:33:49.542,25,003,3,148
0.00:33:50.695,25,001,1,149
0.00:33:51.832,24,997,-3,147
0.00:33:52.985,24,997,-3,146
0.00:33:54.138,24,997,-3,146
0.00:33:55.275,24,997,-3,143
0.00:33:56.427,24,994,-6,142
0.00:33:57.580,24,998,-2,142
0.00:33:58.717,24,994,-6,141
0.00:33:59.870,24,995,-5,137
0.00:34:01.007,24,999,-1,142
0.00:34:02.160,24,995,-5,134
0.00:34:03.313,24,997,-3,138
0.00:34:04.449,24,997,-3,139
0.00:34:05.602,24,994,-6,140
0.00:34:06.755,24,999,-1,138
0.00:34:07.892,24,999,-1,139
0.00:34:09.045,24,997,-3,139
0.00:34:10.198,24,999,-1,136
0.00:34:11.335,24,998,-2,138
0.00:34:12.487,24,995,-5,130
0.00:34:13.640,24,998,-2,136
0.00:34:14.777,24,996,-4,136
0.00:34:15.930,24,995,-5,136
0.00:34:17.083,25,0,133
0.00:34:18.220,24,999,-1,137
0.00:34:19.373,25,002,2,141
0.00:34:20.509,25,001,1,142
0.00:34:21.662,25,002,2,142
0.00:34:22.815,25,0,134
0.00:34:23.952,25,0,138
0.00:34:25.105,24,999,-1,136
0.00:34:26.258,24,998,-2,129
0.00:34:27.395,24,997,-3,130
0.00:34:28.547,24,994,-6,129
0.00:34:29.700,24,997,-3,128
0.00:34:30.837,25,0,133
0.00:34:31.990,25,002,2,135
0.00:34:33.143,24,999,-1,135
0.00:34:34.280,25,004,4,140
0.00:34:35.432,25,001,1,137
0.00:34:36.585,25,001,1,131
0.00:34:37.722,25,0,132
0.00:34:38.875,24,998,-2,131
0.00:34:40.012,25,0,137
0.00:34:41.165,25,0,131
0.00:34:42.318,24,999,-1,131
0.00:34:43.454,25,001,1,135
0.00:34:44.607,25,002,2,138
0.00:34:45.760,24,999,-1,134
0.00:34:46.897,24,997,-3,129
0.00:34:48.050,25,001,1,136
0.00:34:49.203,25,0,136
0.00:34:50.340,25,003,3,141
0.00:34:51.492,25,003,3,139
0.00:34:52.645,25,001,1,142
0.00:34:53.782,24,999,-1,138
0.00:34:54.935,25,001,1,133
0.00:34:56.088,25,0,139
0.00:34:57.225,24,998,-2,132
0.00:34:58.377,24,998,-2,133
0.00:34:59.530,24,998,-2,133
0.00:35:00.667,24,996,-4,131
0.00:35:01.819,24,995,-5,125
0.00:35:02.972,24,995,-5,119
0.00:35:04.109,24,996,-4,125
0.00:35:05.263,24,998,-2,125
0.00:35:06.415,24,998,-2,130
0.00:35:07.552,24,998,-2,128
0.00:35:08.704,25,0,128
0.00:35:09.858,25,0,128
0.00:35:10.994,25,002,2,127
0.00:35:12.148,25,0,132
0.00:35:13.301,25,002,2,131
0.00:35:14.436,25,005,5,134
0.00:35:15.590,25,001,1,133
0.00:35:16.727,25,003,3,134
0.00:35:17.880,25,001,1,130
0.00:35:19.032,24,999,-1,126
0.00:35:20.170,24,997,-3,128
0.00:35:21.322,25,0,130
0.00:35:22.475,24,996,-4,125
0.00:35:23.611,24,994,-6,119
0.00:35:24.764,25,002,2,122
0.00:35:25.918,24,997,-3,124
0.00:35:27.055,25,0,129
0.00:35:28.207,24,998,-2,124
0.00:35:29.360,25,001,1,128
0.00:35:30.496,25,001,1,130
0.00:35:31.649,25,0,123
0.00:35:32.802,24,997,-3,123
0.00:35:33.939,24,995,-5,122
0.00:35:35.092,24,994,-6,124
0.00:35:36.245,24,997,-3,121
0.00:35:37.382,24,996,-4,120
0.00:35:38.534,24,996,-4,119
0.00:35:39.671,24,998,-2,121
0.00:35:40.824,24,999,-1,117
0.00:35:41.977,25,0,117
0.00:35:43.114,25,001,1,124
0.00:35:44.267,25,002,2,124
0.00:35:45.420,25,001,1,124
0.00:35:46.556,24,998,-2,122
0.00:35:47.709,25,002,2,122
0.00:35:48.862,25,0,123
0.00:35:49.999,25,0,122
0.00:35:51.152,24,999,-1,122
0.00:35:52.305,25,002,2,123
0.00:35:53.442,25,002,2,124
0.00:35:54.594,25,002,2,126
0.00:35:55.747,25,003,3,127
0.00:35:56.884,25,0,128
0.00:35:58.037,25,004,4,123
0.00:35:59.174,25,003,3,126
0.00:36:00.327,25,003,3,130
0.00:36:01.479,25,0,132
0.00:36:02.616,24,997,-3,128
0.00:36:03.769,24,997,-3,131
0.00:36:04.922,25,003,3,131
0.00:36:06.059,24,998,-2,125
0.00:36:07.212,25,001,1,128
0.00:36:08.365,24,999,-1,128
0.00:36:09.501,25,0,121
0.00:36:10.654,24,999,-1,129
0.00:36:11.807,25,001,1,126
0.00:36:12.944,25,0,127
0.00:36:14.097,24,999,-1,121
0.00:36:15.250,24,997,-3,125
0.00:36:16.387,25,001,1,125
0.00:36:17.539,24,993,-7,117
0.00:36:18.692,24,997,-3,123
0.00:36:19.829,24,994,-6,120
0.00:36:20.982,24,997,-3,119
0.00:36:22.119,24,998,-2,120
0.00:36:23.272,24,998,-2,121
0.00:36:24.425,24,999,-1,122
0.00:36:25.561,24,999,-1,123
0.00:36:26.714,25,001,1,125
0.00:36:27.867,25,001,1,123
0.00:36:29.004,24,997,-3,119
0.00:36:30.157,24,999,-1,121
0.00:36:31.310,24,999,-1,120
0.00:36:32.446,24,999,-1,122
0.00:36:33.599,24,997,-3,117
0.00:36:34.752,24,993,-7,112
0.00:36:35.889,24,994,-6,112
0.00:36:37.041,24,997,-3,112
0.00:36:38.178,24,996,-4,113
0.00:36:39.332,24,999,-1,116
0.00:36:40.484,24,998,-2,118
0.00:36:41.621,24,999,-1,117
0.00:36:42.774,24,997,-3,115
0.00:36:43.926,24,999,-1,115
0.00:36:45.064,24,997,-3,115
0.00:36:46.216,25,001,1,116
0.00:36:47.370,25,002,2,113
0.00:36:48.506,24,999,-1,115
0.00:36:49.659,25,001,1,116
0.00:36:50.812,25,001,1,117
0.00:36:51.948,25,0,116
0.00:36:53.101,24,999,-1,114
0.00:36:54.254,24,996,-4,109
0.00:36:55.391,25,0,115
0.00:36:56.544,24,998,-2,112
0.00:36:57.696,24,996,-4,109
0.00:36:58.833,24,993,-7,103
0.00:36:59.986,24,998,-2,112
0.00:37:01.139,25,0,112
0.00:37:02.276,24,998,-2,114
0.00:37:03.429,25,0,104
0.00:37:04.581,25,0,115
0.00:37:05.718,25,0,114
0.00:37:06.871,25,001,1,108
0.00:37:08.024,24,999,-1,108
0.00:37:09.161,24,996,-4,111
0.00:37:10.315,24,999,-1,111
0.00:37:11.467,24,999,-1,111
0.00:37:12.603,24,998,-2,105
0.00:37:13.756,24,997,-3,104
0.00:37:14.909,24,995,-5,104
0.00:37:16.046,24,999,-1,106
0.00:37:17.199,24,997,-3,107
0.00:37:18.352,25,0,108
0.00:37:19.489,24,994,-6,106
0.00:37:20.642,25,003,3,103
0.00:37:21.794,25,0,105
0.00:37:22.947,24,997,-3,103
0.00:37:24.085,24,999,-1,100
0.00:37:25.237,25,0,102
0.00:37:26.390,24,997,-3,102
0.00:37:27.527,24,997,-3,101
0.00:37:28.680,25,002,2,102
0.00:37:29.832,25,0,99
0.00:37:30.969,24,998,-2,99
0.00:37:32.122,25,004,4,106
0.00:37:33.275,25,001,1,106
0.00:37:34.412,25,001,1,108
0.00:37:35.565,25,002,2,109
0.00:37:36.718,25,0,109
0.00:37:37.854,25,004,4,111
0.00:37:39.007,25,002,2,106
0.00:37:40.160,25,003,3,112
0.00:37:41.297,25,003,3,111
0.00:37:42.450,25,0,112
0.00:37:43.603,24,997,-3,103
0.00:37:44.740,24,996,-4,103
0.00:37:45.892,24,996,-4,102
0.00:37:47.045,24,996,-4,105
0.00:37:48.182,24,999,-1,102
0.00:37:49.335,24,998,-2,103
0.00:37:50.488,24,997,-3,95
0.00:37:51.625,24,997,-3,102
0.00:37:52.777,24,999,-1,102
0.00:37:53.930,25,002,2,106
0.00:37:55.067,25,003,3,107
0.00:37:56.220,25,002,2,111
0.00:37:57.373,25,001,1,106
0.00:37:58.510,24,998,-2,105
0.00:37:59.663,24,999,-1,103
0.00:38:00.816,25,0,102
0.00:38:01.952,25,0,103
0.00:38:03.105,25,0,102
0.00:38:04.258,24,996,-4,103
0.00:38:05.395,24,998,-2,99
0.00:38:06.548,25,0,97
0.00:38:07.701,24,996,-4,96
0.00:38:08.838,25,001,1,100
0.00:38:09.990,24,997,-3,96
0.00:38:11.143,24,999,-1,95
0.00:38:12.280,24,999,-1,104
0.00:38:13.433,25,0,98
0.00:38:14.586,25,0,100
0.00:38:15.723,25,002,2,101
0.00:38:16.876,24,995,-5,94
0.00:38:18.027,24,997,-3,97
0.00:38:19.164,24,994,-6,89
0.00:38:20.318,24,996,-4,86
0.00:38:21.470,25,0,95
0.00:38:22.608,24,997,-3,96
0.00:38:23.760,24,999,-1,96
0.00:38:24.913,24,997,-3,98
0.00:38:26.050,25,003,3,99
0.00:38:27.203,25,001,1,102
0.00:38:28.339,25,001,1,97
0.00:38:29.492,25,0,103
0.00:38:30.646,25,0,99
0.00:38:31.782,25,001,1,98
0.00:38:32.934,24,998,-2,100
0.00:38:34.087,24,999,-1,93
0.00:38:35.224,25,002,2,97
0.00:38:36.377,25,001,1,98
0.00:38:37.530,25,001,1,97
0.00:38:38.667,25,002,2,98
0.00:38:39.820,25,002,2,101
0.00:38:40.972,24,998,-2,99
0.00:38:42.109,25,0,100
0.00:38:43.262,24,998,-2,99
0.00:38:44.399,25,001,1,94
0.00:38:45.552,25,001,1,103
0.00:38:46.705,25,001,1,98
0.00:38:47.842,25,001,1,97
0.00:38:48.995,25,006,6,109
0.00:38:50.147,25,003,3,106
0.00:38:51.284,25,005,5,100
0.00:38:52.437,24,999,-1,104
0.00:38:53.590,25,003,3,106
0.00:38:54.727,24,999,-1,103
0.00:38:55.880,25,0,103
0.00:38:57.032,25,002,2,108
0.00:38:58.169,25,002,2,103
0.00:38:59.322,24,999,-1,105
0.00:39:00.475,24,999,-1,106
0.00:39:01.612,24,999,-1,96
0.00:39:02.765,24,997,-3,101
0.00:39:03.918,25,0,101
0.00:39:05.054,24,996,-4,96
0.00:39:06.207,24,997,-3,96
0.00:39:07.360,24,997,-3,96
0.00:39:08.497,24,999,-1,97
0.00:39:09.650,24,999,-1,93
0.00:39:10.803,24,998,-2,94
0.00:39:11.940,24,998,-2,96
0.00:39:13.092,25,0,93
0.00:39:14.229,25,002,2,98
0.00:39:15.382,24,996,-4,90
0.00:39:16.535,25,0,96
0.00:39:17.672,24,997,-3,93
0.00:39:18.825,24,998,-2,87
0.00:39:19.978,24,999,-1,93
0.00:39:21.114,24,997,-3,95
0.00:39:22.267,24,998,-2,94
0.00:39:23.420,24,998,-2,90
0.00:39:24.589,25,0,93
0.00:39:25.742,25,003,3,93
0.00:39:26.879,25,0,95
0.00:39:28.032,25,002,2,97
0.00:39:29.184,25,003,3,98
0.00:39:30.321,25,002,2,95
0.00:39:31.474,25,004,4,98
0.00:39:32.627,25,001,1,97
0.00:39:33.764,24,997,-3,94
0.00:39:34.917,25,0,92
0.00:39:36.054,25,001,1,94
0.00:39:37.206,25,0,96
0.00:39:38.359,25,0,96
0.00:39:39.496,24,999,-1,94
0.00:39:40.649,24,999,-1,90
0.00:39:41.802,24,998,-2,86
0.00:39:42.939,24,994,-6,90
0.00:39:44.092,25,0,92
0.00:39:45.228,25,0,89
0.00:39:46.380,25,002,2,96
0.00:39:47.534,25,0,99
0.00:39:48.670,25,001,1,100
0.00:39:49.824,25,0,95
0.00:39:50.961,25,0,93
0.00:39:52.114,25,001,1,98
0.00:39:53.265,24,998,-2,93
0.00:39:54.402,24,999,-1,93
0.00:39:55.556,25,0,93
0.00:39:56.693,25,001,1,93
0.00:39:57.846,24,999,-1,92
0.00:39:58.998,25,0,93
0.00:40:00.135,25,0,93
0.00:40:01.288,25,002,2,94
0.00:40:02.424,25,005,5,100
0.00:40:03.577,25,004,4,97
0.00:40:04.730,25,004,4,101
0.00:40:05.867,25,002,2,101
0.00:40:07.020,25,004,4,103
0.00:40:08.157,25,002,2,94
0.00:40:09.309,25,001,1,99
0.00:40:10.462,25,003,3,101
0.00:40:11.599,24,999,-1,97
0.00:40:12.752,24,996,-4,95
0.00:40:13.889,24,996,-4,90
0.00:40:15.042,24,997,-3,94
0.00:40:16.195,24,997,-3,89
0.00:40:17.331,24,999,-1,92
0.00:40:18.484,24,995,-5,89
0.00:40:19.621,24,997,-3,89
0.00:40:20.774,25,0,93
0.00:40:21.927,24,997,-3,90
0.00:40:23.064,24,995,-5,80
0.00:40:24.217,24,993,-7,82
0.00:40:25.353,25,0,89
0.00:40:26.506,25,001,1,91
0.00:40:27.643,25,004,4,95
0.00:40:28.796,24,999,-1,94
0.00:40:29.949,25,002,2,93
0.00:40:31.086,25,001,1,89
0.00:40:32.239,25,001,1,93
0.00:40:33.375,25,003,3,97
0.00:40:34.528,25,004,4,98
0.00:40:35.681,25,0,95
0.00:40:36.818,25,003,3,99
0.00:40:37.971,24,996,-4,94
0.00:40:39.108,25,0,95
0.00:40:40.261,25,0,95
0.00:40:41.397,24,998,-2,95
0.00:40:42.550,24,999,-1,91
0.00:40:43.703,25,001,1,92
0.00:40:44.840,24,999,-1,92
0.00:40:45.993,25,0,90
0.00:40:47.130,24,997,-3,91
0.00:40:48.283,24,997,-3,89
0.00:40:49.435,24,993,-7,82
0.00:40:50.572,24,996,-4,87
0.00:40:51.725,24,997,-3,87
0.00:40:52.862,24,995,-5,85
